method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
TABICLV2 (default),1690.7,256.7,93.1,6.6,0.9211268,0.09311323341085258,0.12707942656929783,0.07579474483116662,0.36501554001554004,2.0,1.0,0.0,7.0,8.198838448524475,0.40656771659851076,12.547479193194706,1.2614273405346623,0.25436367556724016,0.25436367556724016,0.0,4.0,0.029115778401917147,0.02172629896165277,0.23311740890688254,7.068117618560791,0.38977646827697754,12.30654165933817,1.1987669508727787,0.21569809096982362,0.21569809096982362,0.0,config,default,TABICLV2,TabICLv2,tabarena-2026-02-16
REALTABPFN-V2.5 (default),1605.7,223.4,119.9,9.4,0.88169014,0.08515067201728722,0.05676309082795873,0.04980356941647589,0.20972934472934474,0.0,2.0,0.0,8.0,8.141222620010376,0.29707720279693606,12.815643410353465,0.945285719742972,0.34904847094289343,0.34904847094289343,0.0,6.0,0.03512562317842338,0.022260066248394245,0.2353278227620333,7.561631798744202,0.2720075845718384,11.470285617084427,0.8127897056915665,0.24835219768717426,0.24835219768717426,0.0,config,default,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALTABPFN-V2.5 (tuned + ensemble),1585.3,339.6,145.4,10.2,0.8704226,0.05049216661102004,0.03156173731832288,0.02801969018252979,0.36558730158730157,2.0,2.0,1.0,5.0,2091.7769680976867,5.461932516098022,3163.465803037673,15.755846230412558,0.3099052872280822,0.3099052872280822,0.0,6.0,0.04572104211526401,0.020462610266461383,0.2442476383265857,1891.582437992096,2.411555767059326,3054.4089656746164,8.138707674030668,0.22722602587932975,0.22722602587932975,0.0,hpo,tuned_ensemble,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
"AutoGluon 1.5 (extreme, 4h)",1559.1,347.6,205.8,11.3,0.8549296,0.09512391599691108,0.08060346494770038,0.06235520344982668,0.3183296152469085,2.0,0.0,1.0,7.0,142.68162517547609,0.8699311494827271,208.38191744951715,2.5666037598536047,0.33931386047971873,0.33931386047971873,0.0,5.5,0.04833200760966461,0.019978486473907306,0.25056117858749444,123.75374448299408,0.8675321340560913,196.53877703500953,2.5583336762761997,0.27874462988071064,0.27874462988071064,0.0,baseline,,,AutoGluon_v150_eq_4h8c,tabarena-2025-12-18
REALTABPFN-V2.5 (tuned),1527.3,185.4,98.3,12.75,0.83450705,0.11009876969511664,0.08791567631229563,0.06410194413182357,0.14211086354039645,0.0,1.0,0.0,9.0,2091.7769680976867,0.3192469120025635,3163.465803037673,1.0076672249494707,0.44773258961001144,0.44773258961001144,0.0,13.5,0.08393539977385461,0.04194661988237397,0.24392431399010345,1891.582437992096,0.29181766510009766,3054.4089656746164,0.8941602607633419,0.45439533017573686,0.45439533017573686,0.0,hpo,tuned,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALMLP_GPU (tuned + ensemble),1508.0,137.9,61.9,13.7,0.8211268,0.12942093143704864,0.11391375469215548,0.07775858713542153,0.08280787624827872,0.0,0.0,0.0,10.0,4040.208714270592,18.915118098258972,6133.731161051702,59.56717018437504,0.47098721325682524,0.47098721325682524,0.0,14.0,0.07492092099455627,0.045146501110808396,0.24154914740407674,4136.791490793228,18.53210139274597,6282.393837109215,55.157138735359,0.4426807511563493,0.4426807511563493,0.0,hpo,tuned_ensemble,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
TABDPT_GPU (tuned + ensemble),1459.2,242.5,173.9,16.3,0.7845071,0.12493385538385982,0.11717354985287995,0.07716763837463958,0.09973783030386804,0.0,0.0,0.0,10.0,7325.337600922585,127.82387647628784,10962.768963286524,407.91713520124625,0.4650519943708426,0.4650519943708426,0.0,11.5,0.059169453734671584,0.03390624324374027,0.25161268556005395,7255.836020708084,142.94684493541718,10634.160357980394,473.06675594907904,0.3598741471531565,0.3598741471531565,0.0,hpo,tuned_ensemble,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
"AutoGluon 1.4 (extreme, 4h)",1449.6,211.1,102.9,16.85,0.7767606,0.12997371607160937,0.11905154226006262,0.08302281261295377,0.09121682235477797,0.0,0.0,0.0,10.0,597.6922153711319,2.5760327100753786,915.0039865293604,7.751523135543512,0.4829970169091934,0.4829970169091934,0.0,17.0,0.08225309521692753,0.04173805888595709,0.24622357174988752,458.8268395662308,2.2164993286132812,676.2105258479273,7.01542383049159,0.5162137427469986,0.5162137427469986,0.0,baseline,,,AutoGluon_v140_eq_4h8c,tabarena-2025-11-01
TABPFNV2_GPU (tuned + ensemble),1439.3,161.2,87.3,17.45,0.7683099,0.1323345216084495,0.09940352059948737,0.07765452910660667,0.09740944303444303,0.0,0.0,0.0,10.0,2557.372169923782,11.005201649665832,3744.0864555923044,33.218605623876286,0.5531112100075399,0.5531112100075399,0.0,17.25,0.08030544201339929,0.05452418748448261,0.2430476833108412,1852.4243768453598,5.958374977111816,2928.625040326281,18.5474544713968,0.5928139510469277,0.5928139510469277,0.0,hpo,tuned_ensemble,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
REALMLP_GPU (tuned),1436.8,161.8,85.7,17.6,0.7661972,0.13247682956253232,0.11603318689177206,0.0795943062634584,0.08422378060535955,0.0,0.0,0.0,10.0,4040.208714270592,1.9977583408355712,6133.731161051702,6.086150326198344,0.5266046689613707,0.5266046689613707,0.0,15.0,0.09823904481220369,0.05580774530970191,0.24308208439433782,4136.791490793228,0.9101506471633911,6282.393837109215,2.817327332706326,0.5469279177401756,0.5469279177401756,0.0,hpo,tuned,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
